source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0050794,regulation of cellular process,0.004444199330939377,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11946,33,31,21026,0.9393939393939394,0.0025950108823037,query_1,"['GO:0009987', 'GO:0050789']"
GO:MF,GO:0140677,molecular function activator activity,0.00474334879680681,True,"""A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]",1177,33,10,20246,0.30303030303030304,0.008496176720475786,query_1,['GO:0098772']
REAC,REAC:R-HSA-168256,Immune System,0.005117199095870576,True,Immune System,2085,29,16,11004,0.5517241379310345,0.007673860911270983,query_1,['REAC:0000000']
GO:BP,GO:0140546,defense response to symbiont,0.006734169502704623,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",1082,33,10,21026,0.30303030303030304,0.009242144177449169,query_1,['GO:0098542']
GO:BP,GO:0006959,humoral immune response,0.007615942554598336,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",281,33,6,21026,0.18181818181818182,0.021352313167259787,query_1,['GO:0006955']
WP,WP:WP2865,IL1 and megakaryocytes in obesity,0.007785612449302573,True,IL1 and megakaryocytes in obesity,24,27,3,8752,0.1111111111111111,0.125,query_1,['WP:000000']
GO:BP,GO:0050865,regulation of cell activation,0.007847818216920528,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",632,33,8,21026,0.24242424242424243,0.012658227848101266,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0071345,cellular response to cytokine stimulus,0.007959957517326624,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]",854,33,9,21026,0.2727272727272727,0.01053864168618267,query_1,['GO:0034097']
GO:CC,GO:0031410,cytoplasmic vesicle,0.008331220524358602,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2556,33,13,22149,0.3939393939393939,0.005086071987480438,query_1,"['GO:0005737', 'GO:0097708']"
GO:BP,GO:0080134,regulation of response to stress,0.008532522633645227,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1387,33,11,21026,0.3333333333333333,0.007930785868781542,query_1,"['GO:0006950', 'GO:0048583']"
GO:CC,GO:0097708,intracellular vesicle,0.008542106447430106,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2562,33,13,22149,0.3939393939393939,0.00507416081186573,query_1,"['GO:0031982', 'GO:0043231']"
WP,WP:WP2880,Glucocorticoid receptor pathway,0.008791535306444786,True,Glucocorticoid receptor pathway,70,27,4,8752,0.14814814814814814,0.05714285714285714,query_1,['WP:000000']
GO:BP,GO:0048583,regulation of response to stimulus,0.009374636391835089,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,33,18,21026,0.5454545454545454,0.004507888805409466,query_1,"['GO:0050789', 'GO:0050896']"
GO:CC,GO:0009986,cell surface,0.009852778816104945,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",914,33,8,22149,0.24242424242424243,0.0087527352297593,query_1,['GO:0110165']
GO:BP,GO:0050789,regulation of biological process,0.011104609232815565,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12336,33,31,21026,0.9393939393939394,0.002512970168612192,query_1,"['GO:0008150', 'GO:0065007']"
GO:CC,GO:0098588,bounding membrane of organelle,0.0118549913677502,True,"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",2251,33,12,22149,0.36363636363636365,0.0053309640159928924,query_1,['GO:0031090']
GO:BP,GO:0002443,leukocyte mediated immunity,0.013806793960868051,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",481,33,7,21026,0.21212121212121213,0.014553014553014554,query_1,['GO:0002252']
REAC,REAC:R-HSA-446652,Interleukin-1 family signaling,0.01480346396558136,True,Interleukin-1 family signaling,151,29,5,11004,0.1724137931034483,0.033112582781456956,query_1,['REAC:R-HSA-449147']
GO:MF,GO:0005125,cytokine activity,0.016134500283419898,True,"""The activity of a soluble extracellular gene product that interacts with a receptor to effect a change in the activity of the receptor to control the survival, growth, differentiation and effector function of tissues and cells."" [ISBN:0198599471, PMID:11530802]",238,33,5,20246,0.15151515151515152,0.02100840336134454,query_1,['GO:0048018']
GO:BP,GO:0022407,regulation of cell-cell adhesion,0.016424206286484735,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]",494,33,7,21026,0.21212121212121213,0.01417004048582996,query_1,"['GO:0030155', 'GO:0098609']"
GO:BP,GO:0002757,immune response-activating signaling pathway,0.016424206286484735,True,"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]",494,33,7,21026,0.21212121212121213,0.01417004048582996,query_1,"['GO:0002253', 'GO:0002764']"
GO:BP,GO:0022409,positive regulation of cell-cell adhesion,0.018428390229046503,True,"""Any process that activates or increases the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]",328,33,6,21026,0.18181818181818182,0.018292682926829267,query_1,"['GO:0022407', 'GO:0045785', 'GO:0098609']"
WP,WP:WP3893,Development and heterogeneity of the ILC family,0.02060232930655803,True,Development and heterogeneity of the ILC family,33,27,3,8752,0.1111111111111111,0.09090909090909091,query_1,['WP:000000']
WP,WP:WP5088,Prostaglandin signaling,0.02060232930655803,True,Prostaglandin signaling,33,27,3,8752,0.1111111111111111,0.09090909090909091,query_1,['WP:000000']
GO:BP,GO:0002700,regulation of production of molecular mediator of immune response,0.021065568411844572,True,"""Any process that modulates the frequency, rate, or extent of the production of molecular mediator of immune response."" [GOC:add]",194,33,5,21026,0.15151515151515152,0.02577319587628866,query_1,"['GO:0002440', 'GO:0002697', 'GO:0010468']"
GO:CC,GO:0101003,ficolin-1-rich granule membrane,0.021246920079723754,True,"""The lipid bilayer surrounding a ficolin-1-rich granule."" [GOC:mec, PMID:23650620]",60,33,3,22149,0.09090909090909091,0.05,query_1,"['GO:0030667', 'GO:0070820', 'GO:0101002']"
GO:BP,GO:0002292,T cell differentiation involved in immune response,0.02197245223653365,True,"""The process in which an antigenically naive T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."" [GOC:add, ISBN:0781735149]",92,33,4,21026,0.12121212121212122,0.043478260869565216,query_1,"['GO:0002286', 'GO:0030217']"
KEGG,KEGG:04621,NOD-like receptor signaling pathway,0.022404854389396604,True,NOD-like receptor signaling pathway,182,29,5,8484,0.1724137931034483,0.027472527472527472,query_1,['KEGG:00000']
GO:BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,0.022976341792283504,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]",341,33,6,21026,0.18181818181818182,0.017595307917888565,query_1,"['GO:0002764', 'GO:0007166']"
GO:BP,GO:0030097,hemopoiesis,0.02339116948398563,True,"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]",976,33,9,21026,0.2727272727272727,0.009221311475409836,query_1,['GO:0048468']
GO:BP,GO:0070498,interleukin-1-mediated signaling pathway,0.026491324124811484,True,"""The series of molecular signals initiated by interleukin-1 binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]",31,33,3,21026,0.09090909090909091,0.0967741935483871,query_1,"['GO:0019221', 'GO:0071347']"
KEGG,KEGG:04625,C-type lectin receptor signaling pathway,0.026653445709222928,True,C-type lectin receptor signaling pathway,104,29,4,8484,0.13793103448275862,0.038461538461538464,query_1,['KEGG:00000']
KEGG,KEGG:04928,"Parathyroid hormone synthesis, secretion and action",0.027643704724425722,True,"Parathyroid hormone synthesis, secretion and action",105,29,4,8484,0.13793103448275862,0.0380952380952381,query_1,['KEGG:00000']
GO:BP,GO:0065007,biological regulation,0.027834268840158046,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12743,33,31,21026,0.9393939393939394,0.002432708153496037,query_1,['GO:0008150']
WP,WP:WP4876,Activation of NLRP3 inflammasome by SARS CoV 2,0.02924186076795606,True,Activation of NLRP3 inflammasome by SARS CoV 2,7,27,2,8752,0.07407407407407407,0.2857142857142857,query_1,['WP:000000']
GO:CC,GO:0005576,extracellular region,0.030184539034149714,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4258,33,16,22149,0.48484848484848486,0.0037576326914044154,query_1,['GO:0110165']
GO:BP,GO:0141124,intracellular signaling cassette,0.03071450789896367,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,33,12,21026,0.36363636363636365,0.006276150627615063,query_1,['GO:0035556']
GO:BP,GO:0002696,positive regulation of leukocyte activation,0.032717151149561835,True,"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]",363,33,6,21026,0.18181818181818182,0.01652892561983471,query_1,"['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']"
GO:BP,GO:0042098,T cell proliferation,0.034580481057882424,True,"""The expansion of a T cell population by cell division. Follows T cell activation."" [GOC:jl]",215,33,5,21026,0.15151515151515152,0.023255813953488372,query_1,"['GO:0042110', 'GO:0046651']"
GO:CC,GO:0099503,secretory vesicle,0.035756802087976415,True,"""A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."" [GOC:dos]",1099,33,8,22149,0.24242424242424243,0.007279344858962694,query_1,['GO:0031410']
GO:CC,GO:0070821,tertiary granule membrane,0.036581948619454845,True,"""The lipid bilayer surrounding a tertiary granule."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]",72,33,3,22149,0.09090909090909091,0.041666666666666664,query_1,"['GO:0030667', 'GO:0070820']"
GO:BP,GO:0019222,regulation of metabolic process,0.03886333043543503,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7035,33,23,21026,0.696969696969697,0.0032693674484719263,query_1,"['GO:0008152', 'GO:0050794']"
WP,WP:WP5440,EPAC1 and PKA reduction of retinal inflammation,0.03891493955454186,True,EPAC1 and PKA reduction of retinal inflammation,8,27,2,8752,0.07407407407407407,0.25,query_1,['WP:000000']
GO:MF,GO:0042802,identical protein binding,0.03986563292119367,True,"""Binding to an identical protein or proteins."" [GOC:jl]",2182,33,12,20246,0.36363636363636365,0.005499541704857928,query_1,['GO:0005515']
GO:BP,GO:1903037,regulation of leukocyte cell-cell adhesion,0.04048709291352976,True,"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",377,33,6,21026,0.18181818181818182,0.015915119363395226,query_1,"['GO:0007159', 'GO:0022407']"
GO:BP,GO:0070487,monocyte aggregation,0.041064071091710175,True,"""The adhesion of one monocyte to one or more other monocytes via adhesion molecules."" [GOC:sl, PMID:12972508]",5,33,2,21026,0.06060606060606061,0.4,query_1,['GO:0070486']
GO:CC,GO:0012505,endomembrane system,0.04123805675854852,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",4872,33,17,22149,0.5151515151515151,0.0034893267651888342,query_1,['GO:0110165']
GO:BP,GO:0031399,regulation of protein modification process,0.04153753141948483,True,"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",1049,33,9,21026,0.2727272727272727,0.008579599618684462,query_1,"['GO:0036211', 'GO:0051246']"
GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.042175863251316316,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6492,33,22,21026,0.6666666666666666,0.0033887861983980284,query_1,"['GO:0019222', 'GO:0043170']"
GO:MF,GO:0098772,molecular function regulator activity,0.042240180593910194,True,"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]",2195,33,12,20246,0.36363636363636365,0.005466970387243736,query_1,['GO:0003674']
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,0.04236741125399996,True,Cytokine Signaling in Immune system,780,29,9,11004,0.3103448275862069,0.011538461538461539,query_1,['REAC:R-HSA-168256']
GO:BP,GO:0048584,positive regulation of response to stimulus,0.04275834489620206,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,33,13,21026,0.3939393939393939,0.005577005577005577,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0050867,positive regulation of cell activation,0.04296110496921194,True,"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]",381,33,6,21026,0.18181818181818182,0.015748031496062992,query_1,"['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']"
GO:BP,GO:0002285,lymphocyte activation involved in immune response,0.0448799894141254,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]",227,33,5,21026,0.15151515151515152,0.022026431718061675,query_1,"['GO:0002366', 'GO:0046649']"
GO:BP,GO:0002440,production of molecular mediator of immune response,0.0448799894141254,True,"""The synthesis or release of any molecular mediator of the immune response, resulting in an increase in its intracellular or extracellular levels."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",227,33,5,21026,0.15151515151515152,0.022026431718061675,query_1,"['GO:0002376', 'GO:0010467']"
WP,WP:WP2882,Nuclear receptors meta pathway,0.047917748378593764,True,Nuclear receptors meta pathway,313,27,6,8752,0.2222222222222222,0.019169329073482427,query_1,['WP:000000']
